p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,hl_category
3127.5157,2890.979988446737,2740.33144197191,2786.7033114617516,2868.8643550363713,2999.5529277438745,2907.367853839313,2772.4682142545707,2749.0794147083593,2884.2572672554743,3043.5416656526127,2899.8032280529083,2692.3380317503825,2762.8959363816816,2898.4019682991807,2959.7490714285714,Medium
3115.4696,2877.8393954909634,2726.9011314149575,2768.2164581930383,2855.1580360189387,2983.10297900864,2895.0669811935104,2763.611093760072,2732.7763935196253,2875.950196350232,3021.6003600684758,2885.5845351005473,2675.265502975474,2745.350899192643,2893.6072666010996,2942.576114285714,Medium
3664.2051,3458.633191534366,3373.650400645811,3401.096064676314,3474.3017268302046,3533.818400056861,3505.283467470717,3388.0128288586416,3377.7425503394734,3456.090461002568,3559.9581918766894,3498.4057807708546,3349.9344234556434,3397.171970220615,3457.3651851194254,3515.6714411764706,Medium
3124.6346,2886.2232062363933,2726.396980863987,2767.7429424010998,2852.7963366717076,2977.8376058969757,2907.6906461545886,2770.6206301731004,2738.9607125969574,2886.3581422617763,3014.7233093868217,2882.361224557127,2674.171419414647,2745.0094662509787,2903.8003110941836,2954.3991142857144,Medium
4625.4716,4412.081925105032,4291.975693852951,4291.617689542879,4393.957195977173,4484.124265213323,4419.477550180741,4348.871615244125,4324.099399258762,4413.173059341825,4469.242850217172,4413.5310514378325,4244.953478660121,4286.479902511092,4440.426133882783,4497.712399999999,Medium
2524.8151000000003,2250.961150555301,1972.6074388566492,1963.174638641196,2069.6763931401556,2244.82751371912,2197.8924912508087,2074.506991300368,2162.541638789536,2233.4265046575974,2209.407641868343,2055.5264550182546,1884.425616324866,2045.2933055780409,2269.450571535082,2297.429111764706,Medium
1502.2602,1348.3581582122779,1254.5956451665759,1238.6662190801685,1315.112724223144,1343.4342480451137,1348.785437985338,1337.8228526026594,1239.6234340350895,1307.1296890372748,1344.9657567823836,1317.878904918703,1244.3341260964492,1283.1297448520058,1348.9158748552186,1345.1380666666666,Medium
1775.7929,1559.2045902328716,1404.8204781879772,1429.9816809347221,1552.5424280217162,1601.140152783039,1577.9795713033934,1438.489294786423,1467.5270311807749,1595.4537990119159,1568.1237981766658,1515.515621434732,1418.345386433422,1454.0429412969543,1530.69134365658,1635.3321,Medium
3005.0883,2801.1489267608995,2535.904608340336,2485.515248399139,2531.011838293289,2592.2116941227596,2663.482865193062,2773.661137080655,2815.733306521218,2758.055873050196,2605.3654325964017,2399.7882887012083,2455.2993596554393,2684.206324333618,2756.8391156279004,2749.013519047619,Medium
3143.4103000000005,2929.9700089841085,2668.4052336555396,2577.7425505461692,2600.1781574707757,2700.530232928036,2774.183058585649,2918.0140052427787,2977.5957324837827,2878.584991755611,2697.591973920511,2475.830706271614,2563.633942492495,2800.1486542851194,2877.274705874845,2900.9773380952383,Medium
